university,year,rank,egescore_avg,egescore_contract,egescore_min,olympiad_winners,olympiad_other,target_admission_share,magistracy_share,aspirantura_share,external_masters,external_grad_share,aspirants_per_100_students,target_contract_in_tech,foreign_students_share,foreign_non_cis,foreign_cis,foreign_graduated,mobility_outbound,foreign_staff_share,foreign_professors,niokr_total,niokr_share_total,niokr_own_share,niokr_per_npr,npr_with_degree_percent,npr_per_100_students,ppc_salary_index,avg_salary_grads,scopus_publications,risc_publications,risc_citations,foreign_niokr_income,foreign_edu_income,total_income_per_student,self_income_per_npr,self_income_share,lib_books_per_student,area_per_student,pc_per_student,young_npr_share,journals_published,grants_per_100_npr,competition
УрФУ,2024,11,79.5,65.0,56.0,110,120,3.0,21.5,28.0,43.0,58.0,7.0,1.0,9.0,8.5,0.5,15.5,0.22,0.5,42,4900000,17.5,96.0,450.0,67.5,13.5,145.0,63000,1550,98,1500,8500,400000,780.0,1400.0,32.0,185.0,16.5,0.50,13.0,35,6.5,3.7
Финуниверситет,2024,12,78.5,66.0,55.5,100,115,2.8,22.0,27.5,42.0,57.0,7.2,0.9,8.5,8.0,0.8,15.2,0.25,0.4,40,4500000,16.8,95.5,420.0,66.0,13.2,142.0,68000,1400,95,1450,8000,420000,750.0,1380.0,31.0,180.0,16.2,0.48,12.8,32,6.2,3.5
МИСиС,2024,13,78.0,67.0,56.0,105,110,2.9,21.8,28.2,42.5,57.5,7.5,1.1,8.8,8.2,0.7,15.0,0.28,0.45,41,4700000,17.2,95.8,440.0,67.0,13.4,144.0,65000,1480,100,1480,8200,410000,770.0,1420.0,32.5,182.0,16.8,0.49,13.2,34,6.4,3.6
СПбГМУ,2024,14,77.8,66.5,55.0,95,105,3.1,20.5,26.8,41.0,56.0,6.8,0.7,7.5,7.0,0.6,14.5,0.22,0.35,38,4200000,16.0,94.5,380.0,65.0,12.8,138.0,62000,1300,88,1350,7500,380000,720.0,1320.0,30.0,175.0,15.8,0.46,12.0,30,5.8,3.2
МГИМО,2024,15,79.2,68.5,58.0,115,120,2.5,24.0,29.0,43.5,58.5,8.0,0.6,12.0,10.5,2.5,17.5,0.4,0.8,58,5500000,18.5,96.5,520.0,73.0,14.0,152.0,82000,1800,110,1800,12000,480000,880.0,1650.0,34.5,198.0,18.5,0.53,14.5,42,7.2,4.8
РУДН,2024,16,77.5,66.8,55.2,98,108,3.2,21.2,27.0,41.5,56.5,7.0,0.8,15.5,12.0,3.5,18.0,0.35,0.6,52,4800000,17.8,95.2,460.0,68.0,13.6,146.0,67000,1520,102,1520,8800,440000,790.0,1460.0,33.0,186.0,17.0,0.50,13.5,36,6.6,3.8
МИФИ,2024,17,77.2,66.2,54.8,96,106,3.3,21.0,26.8,41.2,56.2,6.9,0.9,8.2,7.8,0.8,14.8,0.26,0.42,39,4400000,16.5,94.8,400.0,66.5,13.0,140.0,64000,1420,96,1420,7800,400000,740.0,1360.0,31.5,178.0,16.5,0.47,12.5,31,6.0,3.3
МГМУ,2024,18,76.8,65.8,54.5,94,104,3.4,20.8,26.5,40.8,55.8,6.7,0.6,7.0,6.5,0.5,14.2,0.20,0.32,36,4100000,15.8,94.0,360.0,64.5,12.5,135.0,60000,1250,85,1280,7200,360000,700.0,1280.0,29.5,170.0,15.2,0.44,11.8,28,5.5,3.0
МАИ,2024,19,76.5,65.5,54.2,92,102,3.5,20.5,26.2,40.5,55.5,6.5,1.0,7.8,7.2,0.7,14.0,0.24,0.38,37,4250000,16.2,94.2,380.0,65.2,12.8,137.0,62000,1320,90,1350,7400,380000,720.0,1320.0,30.2,172.0,15.8,0.45,12.2,29,5.8,3.1
НИТУ МИСиС,2024,20,76.2,65.2,53.8,90,100,3.6,20.2,25.8,40.2,55.2,6.2,1.1,8.0,7.5,0.8,13.8,0.25,0.40,38,4300000,16.4,94.5,390.0,65.8,13.0,139.0,63000,1380,92,1380,7600,390000,730.0,1340.0,30.8,174.0,16.2,0.46,12.5,30,6.0,3.2
СПбГЭТУ ЛЭТИ,2024,21,75.8,64.8,53.5,88,98,3.7,20.0,25.5,40.0,55.0,6.0,1.0,7.5,7.0,0.6,13.5,0.22,0.35,35,4000000,15.5,93.8,350.0,63.5,12.2,132.0,58000,1180,82,1250,6800,350000,680.0,1250.0,28.8,165.0,14.8,0.42,11.5,26,5.2,2.8
РНИМУ,2024,22,75.5,64.5,53.2,86,96,3.8,19.8,25.2,39.8,54.8,5.8,0.5,6.8,6.2,0.4,13.2,0.18,0.28,32,3800000,15.0,93.2,330.0,62.8,11.8,128.0,55000,1120,78,1180,6400,330000,650.0,1180.0,27.5,160.0,14.2,0.40,11.0,24,4.8,2.5
СибФУ,2024,23,75.2,64.2,52.8,84,94,3.9,19.5,24.8,39.5,54.5,5.5,0.8,7.2,6.8,0.5,13.0,0.20,0.32,34,3900000,15.2,93.5,340.0,63.2,12.0,130.0,57000,1150,80,1200,6600,340000,670.0,1220.0,28.2,162.0,14.5,0.41,11.2,25,5.0,2.6
МПГУ,2024,24,74.8,63.8,52.5,82,92,4.0,19.2,24.5,39.2,54.2,5.2,0.6,6.5,6.0,0.3,12.8,0.15,0.25,30,3600000,14.5,92.8,310.0,61.5,11.5,125.0,52000,1050,75,1120,6000,310000,620.0,1120.0,26.8,155.0,13.8,0.38,10.5,22,4.5,2.2
ИТМО НИУ,2024,25,74.5,63.5,52.2,80,90,4.1,19.0,24.2,39.0,54.0,5.0,1.2,8.5,7.8,0.7,13.5,0.28,0.42,40,4200000,16.8,94.2,420.0,66.0,13.2,142.0,68000,1400,95,1450,8000,420000,750.0,1380.0,31.0,180.0,16.2,0.48,12.8,32,6.2,3.5
КФУ,2024,26,74.2,63.2,51.8,78,88,4.2,18.8,23.8,38.8,53.8,4.8,0.7,7.0,6.5,0.4,12.5,0.18,0.30,32,3700000,14.8,93.0,320.0,62.0,11.8,128.0,54000,1100,77,1150,6200,320000,640.0,1150.0,27.2,158.0,14.0,0.39,10.8,23,4.8,2.4
МГТУ,2024,27,74.0,63.0,51.5,76,86,4.3,18.5,23.5,38.5,53.5,4.5,0.9,7.8,7.2,0.6,12.2,0.22,0.35,35,3850000,15.2,93.5,340.0,63.2,12.0,130.0,57000,1150,80,1200,6600,340000,670.0,1220.0,28.2,162.0,14.5,0.41,11.2,25,5.0,2.6
ДВФУ,2024,28,73.8,62.8,51.2,74,84,4.4,18.2,23.2,38.2,53.2,4.2,0.8,8.2,7.5,0.7,12.0,0.25,0.38,36,3950000,15.5,93.8,350.0,63.5,12.2,132.0,58000,1180,82,1250,6800,350000,680.0,1250.0,28.8,165.0,14.8,0.42,11.5,26,5.2,2.8
НГУ,2024,29,73.5,62.5,50.8,72,82,4.5,18.0,22.8,38.0,53.0,4.0,1.0,8.5,7.8,0.8,11.8,0.28,0.40,38,4050000,15.8,94.0,360.0,64.0,12.5,135.0,60000,1220,85,1280,7000,360000,700.0,1280.0,29.5,168.0,15.2,0.44,11.8,28,5.5,3.0
МГСУ,2024,30,73.2,62.2,50.5,70,80,4.6,17.8,22.5,37.8,52.8,3.8,0.8,7.2,6.8,0.4,11.5,0.20,0.32,34,3800000,15.0,93.5,340.0,63.2,12.0,130.0,57000,1150,80,1200,6600,340000,670.0,1220.0,28.2,162.0,14.5,0.41,11.2,25,5.0,2.6
ВолгГТУ,2024,31,73.0,62.0,50.2,68,78,4.7,17.5,22.2,37.5,52.5,3.5,0.9,6.8,6.2,0.3,11.2,0.18,0.28,32,3650000,14.2,92.8,320.0,61.8,11.5,125.0,52000,1080,74,1120,6000,320000,630.0,1120.0,26.8,155.0,13.8,0.38,10.5,22,4.5,2.2
ПСПбГМУ,2024,32,72.8,61.8,50.0,66,76,4.8,17.2,21.8,37.2,52.2,3.2,0.4,5.5,5.0,0.2,10.8,0.12,0.22,28,3400000,13.5,92.0,280.0,60.0,10.8,118.0,48000,950,68,1020,5200,280000,580.0,1020.0,24.5,145.0,12.8,0.34,9.5,18,4.0,1.8
УГАТУ,2024,33,72.5,61.5,49.8,64,74,4.9,17.0,21.5,37.0,52.0,3.0,1.0,6.2,5.8,0.3,10.5,0.15,0.25,30,3500000,13.8,92.2,290.0,60.5,11.0,120.0,50000,980,70,1050,5400,290000,600.0,1050.0,25.2,148.0,13.2,0.35,9.8,19,4.2,1.9
ТулГУ,2024,34,72.2,61.2,49.5,62,72,5.0,16.8,21.2,36.8,51.8,2.8,0.8,5.8,5.2,0.2,10.2,0.12,0.20,26,3300000,13.2,91.5,270.0,59.2,10.5,115.0,46000,920,66,980,4800,270000,560.0,980.0,23.8,140.0,12.2,0.32,9.0,16,3.8,1.6
РГГУ,2024,35,72.0,61.0,49.2,60,70,5.1,16.5,20.8,36.5,51.5,2.5,0.5,5.2,4.8,0.3,9.8,0.10,0.18,24,3150000,12.8,91.0,250.0,58.5,10.2,112.0,44000,880,62,940,4400,250000,540.0,940.0,22.5,135.0,11.8,0.30,8.5,14,3.5,1.4
ГУУ,2024,36,71.8,60.8,48.8,58,68,5.2,16.2,20.5,36.2,51.2,2.2,0.4,4.8,4.2,0.2,9.5,0.08,0.15,22,3000000,12.2,90.5,230.0,57.8,9.8,108.0,42000,840,58,900,4000,230000,520.0,900.0,21.2,130.0,11.2,0.28,8.0,12,3.2,1.2
МГУТУ,2024,37,71.5,60.5,48.5,56,66,5.3,16.0,20.2,36.0,51.0,2.0,0.6,4.5,4.0,0.2,9.2,0.08,0.12,20,2900000,11.8,90.0,220.0,57.2,9.5,105.0,40000,800,55,860,3600,220000,500.0,860.0,20.0,125.0,10.8,0.26,7.5,10,3.0,1.0
СмолГУ,2024,38,71.2,60.2,48.2,54,64,5.4,15.8,19.8,35.8,50.8,1.8,0.5,4.2,3.8,0.1,8.8,0.05,0.10,18,2800000,11.5,89.5,210.0,56.5,9.2,102.0,38000,760,52,820,3200,210000,480.0,820.0,18.8,120.0,10.2,0.24,7.0,8,2.8,0.8
НовГУ,2024,39,71.0,60.0,48.0,52,62,5.5,15.5,19.5,35.5,50.5,1.5,0.4,3.8,3.5,0.1,8.5,0.04,0.08,16,2700000,11.2,89.0,200.0,55.8,8.8,98.0,36000,720,48,780,2800,200000,460.0,780.0,17.5,115.0,9.8,0.22,6.5,6,2.5,0.6
АГТУ,2024,40,70.8,59.8,47.8,50,60,5.6,15.2,19.2,35.2,50.2,1.2,0.6,3.5,3.2,0.1,8.2,0.04,0.06,14,2600000,10.8,88.5,190.0,55.2,8.5,95.0,34000,680,45,740,2400,190000,440.0,740.0,16.2,110.0,9.2,0.20,6.0,4,2.2,0.4
РГАУ-МСХА,2024,41,70.5,59.5,47.5,48,58,5.7,15.0,18.8,35.0,50.0,1.0,0.5,3.2,2.8,0.1,7.8,0.02,0.05,12,2500000,10.5,88.0,180.0,54.5,8.2,92.0,32000,640,42,700,2000,180000,420.0,700.0,15.0,105.0,8.8,0.18,5.5,2,2.0,0.2
НГМУ,2024,42,70.2,59.2,47.2,46,56,5.8,14.8,18.5,34.8,49.8,0.8,0.3,2.8,2.5,0.1,7.5,0.02,0.04,10,2400000,10.2,87.5,170.0,54.0,7.8,88.0,30000,600,38,660,1600,170000,400.0,660.0,13.8,100.0,8.2,0.16,5.0,1,1.8,0.1
ЦЕНТР АЛМАЗОВА,2024,42,68.5,58.0,46.0,44,50,6.2,13.5,17.0,33.0,48.0,0.5,0.2,2.0,1.8,0.2,6.5,0.05,0.08,8,2100000,9.5,85.0,150.0,52.0,7.0,80.0,28000,520,32,580,1200,150000,360.0,580.0,12.0,90.0,7.5,0.12,4.2,0,1.5,0.08
КемГУ,2024,43,70.0,59.0,47.0,45,54,5.9,14.5,18.2,34.5,49.5,0.6,0.4,2.5,2.2,0.1,7.2,0.02,0.03,9,2300000,9.8,87.0,160.0,53.5,7.5,85.0,29000,580,35,620,1400,160000,380.0,620.0,12.5,95.0,7.8,0.14,4.8,1,1.6,0.05
ВятГУ,2024,44,69.8,58.8,46.8,43,52,6.0,14.2,17.8,34.2,49.2,0.4,0.3,2.2,1.8,0.1,6.8,0.01,0.02,7,2200000,9.5,86.5,155.0,53.0,7.2,82.0,27000,560,33,600,1300,155000,370.0,600.0,12.2,92.0,7.5,0.13,4.5,0,1.4,0.03
ТГТУ,2024,45,69.5,58.5,46.5,41,50,6.1,14.0,17.5,34.0,49.0,0.2,0.4,2.0,1.5,0.1,6.5,0.01,0.02,6,2100000,9.2,86.0,150.0,52.5,6.8,78.0,25000,540,30,580,1100,150000,350.0,580.0,11.8,88.0,7.2,0.11,4.2,0,1.2,0.02
ПензГУ,2024,46,69.2,58.2,46.2,39,48,6.2,13.8,17.2,33.8,48.8,0.1,0.3,1.8,1.2,0.1,6.2,0.01,0.01,5,2000000,8.8,85.5,145.0,52.0,6.5,75.0,23000,520,28,560,1000,145000,330.0,560.0,11.5,85.0,6.8,0.10,3.8,0,1.0,0.01
КубГУ,2024,47,69.0,58.0,46.0,37,46,6.3,13.5,16.8,33.5,48.5,0.0,0.2,1.5,1.0,0.1,5.8,0.00,0.01,4,1900000,8.5,85.0,140.0,51.5,6.2,72.0,21000,500,25,540,900,140000,310.0,540.0,11.0,82.0,6.5,0.08,3.5,0,0.8,0.00
МГПУ,2024,48,68.8,57.8,45.8,35,44,6.4,13.2,16.5,33.2,48.2,0.0,0.1,1.2,0.8,0.1,5.5,0.00,0.00,3,1800000,8.2,84.5,135.0,51.0,5.8,68.0,19000,480,22,520,800,135000,290.0,520.0,10.5,78.0,6.2,0.06,3.2,0,0.6,0.00
ННГУ,2024,49,68.5,57.5,45.5,33,42,6.5,13.0,16.2,33.0,48.0,0.0,0.2,1.0,0.6,0.1,5.2,0.00,0.00,2,1700000,7.8,84.0,130.0,50.5,5.5,65.0,17000,460,20,500,700,130000,270.0,500.0,10.0,75.0,5.8,0.05,2.8,0,0.4,0.00
ТГУ,2024,50,68.2,57.2,45.2,31,40,6.6,12.8,15.8,32.8,47.8,0.0,0.1,0.8,0.4,0.1,4.8,0.00,0.00,1,1600000,7.5,83.5,125.0,50.0,5.2,62.0,15000,440,18,480,600,125000,250.0,480.0,9.5,72.0,5.5,0.04,2.5,0,0.2,0.00
СТГАУ,2024,51,68.0,57.0,45.0,29,38,6.7,12.5,15.5,32.5,47.5,0.0,0.3,0.5,0.2,0.1,4.5,0.00,0.00,0,1500000,7.2,83.0,120.0,49.5,4.8,58.0,13000,420,15,460,500,120000,230.0,460.0,9.0,68.0,5.2,0.03,2.2,0,0.1,0.00
СТГАУ,2024,52,67.8,56.8,44.8,27,36,6.8,12.2,15.2,32.2,47.2,0.0,0.2,0.3,0.1,0.1,4.2,0.00,0.00,0,1400000,6.8,82.5,115.0,49.0,4.5,55.0,11000,400,12,440,400,115000,210.0,440.0,8.5,65.0,4.8,0.02,1.8,0,0.08,0.00
ВлГУ,2024,53,67.5,56.5,44.5,25,34,6.9,12.0,14.8,32.0,47.0,0.0,0.1,0.2,0.1,0.0,3.8,0.00,0.00,0,1300000,6.5,82.0,110.0,48.5,4.2,52.0,9000,380,10,420,300,110000,190.0,420.0,8.0,62.0,4.5,0.02,1.5,0,0.05,0.00
ЯрГУ,2024,54,67.2,56.2,44.2,23,32,7.0,11.8,14.5,31.8,46.8,0.0,0.1,0.1,0.0,0.0,3.5,0.00,0.00,0,1200000,6.2,81.5,105.0,48.0,3.8,48.0,7000,360,8,400,200,105000,170.0,400.0,7.5,58.0,4.2,0.01,1.2,0,0.03,0.00
ИвГУ,2024,55,67.0,56.0,44.0,21,30,7.1,11.5,14.2,31.5,46.5,0.0,0.0,0.1,0.0,0.0,3.2,0.00,0.00,0,1100000,5.8,81.0,100.0,47.5,3.5,45.0,5000,340,6,380,100,100000,150.0,380.0,7.0,55.0,3.8,0.01,0.8,0,0.02,0.00
ОрелГУ,2024,56,66.8,55.8,43.8,19,28,7.2,11.2,13.8,31.2,46.2,0.0,0.0,0.0,0.0,0.0,2.8,0.00,0.00,0,1000000,5.5,80.5,95.0,47.0,3.2,42.0,3000,320,4,360,50,95000,130.0,360.0,6.5,52.0,3.5,0.00,0.5,0,0.01,0.00
ЧГУ,2024,57,66.5,55.5,43.5,17,26,7.3,11.0,13.5,31.0,46.0,0.0,0.0,0.0,0.0,0.0,2.5,0.00,0.00,0,900000,5.2,80.0,90.0,46.5,2.8,38.0,1000,300,2,340,25,90000,110.0,340.0,6.0,48.0,3.2,0.00,0.2,0,0.00,0.00
КалмГУ,2024,58,66.2,55.2,43.2,15,24,7.4,10.8,13.2,30.8,45.8,0.0,0.0,0.0,0.0,0.0,2.2,0.00,0.00,0,800000,4.8,79.5,85.0,46.0,2.5,35.0,500,280,1,320,10,85000,90.0,320.0,5.5,45.0,2.8,0.00,0.1,0,0.00,0.00
АГПУ,2024,59,66.0,55.0,43.0,13,22,7.5,10.5,12.8,30.5,45.5,0.0,0.0,0.0,0.0,0.0,1.8,0.00,0.00,0,700000,4.5,79.0,80.0,45.5,2.2,32.0,200,260,0,300,5,80000,70.0,300.0,5.0,42.0,2.5,0.00,0.05,0,0.00,0.00
ДГТУ,2024,60,65.8,54.8,42.8,11,20,7.6,10.2,12.5,30.2,45.2,0.0,0.0,0.0,0.0,0.0,1.5,0.00,0.00,0,600000,4.2,78.5,75.0,45.0,1.8,28.0,100,240,0,280,2,75000,50.0,280.0,4.5,38.0,2.2,0.00,0.02,0,0.00,0.00
УГНТУ,2024,61,65.5,54.5,42.5,9,18,7.7,10.0,12.2,30.0,45.0,0.0,0.0,0.0,0.0,0.0,1.2,0.00,0.00,0,500000,3.8,78.0,70.0,44.5,1.5,25.0,50,220,0,260,1,70000,30.0,260.0,4.0,35.0,1.8,0.00,0.01,0,0.00,0.00
ЧелГУ,2024,62,65.2,54.2,42.2,7,16,7.8,9.8,11.8,29.8,44.8,0.0,0.0,0.0,0.0,0.0,0.8,0.00,0.00,0,400000,3.5,77.5,65.0,44.0,1.2,22.0,25,200,0,240,0,65000,20.0,240.0,3.5,32.0,1.5,0.00,0.00,0,0.00,0.00
СКФУ,2024,63,65.0,54.0,42.0,5,14,7.9,9.5,11.5,29.5,44.5,0.0,0.0,0.0,0.0,0.0,0.5,0.00,0.00,0,300000,3.2,77.0,60.0,43.5,0.8,18.0,10,180,0,220,0,60000,15.0,220.0,3.0,28.0,1.2,0.00,0.00,0,0.00,0.00
АлтГУ,2024,64,64.8,53.8,41.8,3,12,8.0,9.2,11.2,29.2,44.2,0.0,0.0,0.0,0.0,0.0,0.2,0.00,0.00,0,200000,2.8,76.5,55.0,43.0,0.5,15.0,5,160,0,200,0,55000,10.0,200.0,2.5,25.0,0.8,0.00,0.00,0,0.00,0.00
ОГУ,2024,65,64.5,53.5,41.5,1,10,8.1,9.0,10.8,29.0,44.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.00,0,100000,2.5,76.0,50.0,42.5,0.2,12.0,2,140,0,180,0,50000,8.0,180.0,2.0,22.0,0.5,0.00,0.00,0,0.00,0.00
БГУ,2024,66,64.2,53.2,41.2,0,8,8.2,8.8,10.5,28.8,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,80000,2.2,75.5,45.0,42.0,0.1,10.0,1,120,0,160,0,45000,6.0,160.0,1.5,18.0,0.2,0.00,0.00,0,0.00,0.00
ПГУ,2024,67,64.0,53.0,41.0,0,6,8.3,8.5,10.2,28.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,60000,1.8,75.0,40.0,41.5,0.0,8.0,0,100,0,140,0,40000,4.0,140.0,1.0,15.0,0.1,0.00,0.00,0,0.00,0.00
СГАУ,2024,68,63.8,52.8,40.8,0,4,8.4,8.2,9.8,28.2,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,40000,1.5,74.5,35.0,41.0,0.0,6.0,0,80,0,120,0,35000,2.0,120.0,0.5,12.0,0.0,0.00,0.00,0,0.00,0.00
УдГУ,2024,69,63.5,52.5,40.5,0,2,8.5,8.0,9.5,28.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,20000,1.2,74.0,30.0,40.5,0.0,4.0,0,60,0,100,0,30000,1.0,100.0,0.2,8.0,0.0,0.00,0.00,0,0.00,0.00
ТОГУ,2024,70,63.2,52.2,40.2,0,1,8.6,7.8,9.2,27.8,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,10000,0.8,73.5,25.0,40.0,0.0,2.0,0,40,0,80,0,25000,0.5,80.0,0.1,5.0,0.0,0.00,0.00,0,0.00,0.00
ДГПУ,2024,71,63.0,52.0,40.0,0,0,8.7,7.5,8.8,27.5,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,8000,0.5,73.0,20.0,39.5,0.0,1.0,0,20,0,60,0,20000,0.2,60.0,0.0,2.0,0.0,0.00,0.00,0,0.00,0.00
РГПУ,2024,72,62.8,51.8,39.8,0,0,8.8,7.2,8.5,27.2,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,6000,0.2,72.5,15.0,39.0,0.0,0.5,0,10,0,40,0,15000,0.1,40.0,0.0,1.0,0.0,0.00,0.00,0,0.00,0.00
ХГПУ,2024,73,62.5,51.5,39.5,0,0,8.9,7.0,8.2,27.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,4000,0.1,72.0,10.0,38.5,0.0,0.2,0,5,0,20,0,10000,0.05,20.0,0.0,0.5,0.0,0.00,0.00,0,0.00,0.00
СГСПУ,2024,74,62.2,51.2,39.2,0,0,9.0,6.8,7.8,26.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,2000,0.08,71.5,8.0,38.0,0.0,0.1,0,2,0,10,0,8000,0.02,10.0,0.0,0.2,0.0,0.00,0.00,0,0.00,0.00
СурГУ,2024,75,62.0,51.0,39.0,0,0,9.1,6.5,7.5,26.5,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,1500,0.05,71.0,5.0,37.5,0.0,0.08,0,1,0,8,0,5000,0.01,8.0,0.0,0.1,0.0,0.00,0.00,0,0.00,0.00
СГУ,2024,76,61.8,50.8,38.8,0,0,9.2,6.2,7.2,26.2,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,1000,0.02,70.5,3.0,37.0,0.0,0.05,0,0,0,5,0,3000,0.005,5.0,0.0,0.05,0.0,0.00,0.00,0,0.00,0.00
МГУП,2024,77,61.5,50.5,38.5,0,0,9.3,6.0,6.8,26.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,800,0.01,70.0,2.0,36.5,0.0,0.02,0,0,0,2,0,2000,0.002,2.0,0.0,0.02,0.0,0.00,0.00,0,0.00,0.00
НГПУ,2024,78,61.2,50.2,38.2,0,0,9.4,5.8,6.5,25.8,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,600,0.008,69.5,1.5,36.0,0.0,0.01,0,0,0,1,0,1500,0.001,1.0,0.0,0.01,0.0,0.00,0.00,0,0.00,0.00
КГПУ,2024,79,61.0,50.0,38.0,0,0,9.5,5.5,6.2,25.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,400,0.005,69.0,1.0,35.5,0.0,0.008,0,0,0,0,0,1000,0.0008,0.5,0.0,0.005,0.0,0.00,0.00,0,0.00,0.00
АГМУ,2024,80,60.8,49.8,37.8,0,0,9.6,5.2,5.8,25.2,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,200,0.002,68.5,0.5,35.0,0.0,0.005,0,0,0,0,0,500,0.0005,0.2,0.0,0.002,0.0,0.00,0.00,0,0.00,0.00
